Name,Short description,Description,Weight (kg),Regular price,Categories,Attribute 1 name,Attribute 1 value(s)
"90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230",notes: price per unit,,0.2,10.90,"Filters & snorkels, Filters & snorkels > 90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230",Classify,"Filters & snorkels > 90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230"
"90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230",notes: price per unit,,0.2,10.90,"Filters & snorkels, Filters & snorkels > 90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230",Classify,"Filters & snorkels > 90° connector 1/4""-18NPTF 8mm pipe for RA110 RA230"
"90° connector 1/4""-18NPTF- 10mm pipe for RA110 RA230",,,0.2,10.40,"Filters & snorkels, Filters & snorkels > 90° connector 1/4""-18NPTF- 10mm pipe for RA110 RA230",Classify,"Filters & snorkels > 90° connector 1/4""-18NPTF- 10mm pipe for RA110 RA230"
90° joint RA500 10mm,,,0.1,19.00,"Filters & snorkels, Filters & snorkels > 90° joint RA500 10mm",Classify,Filters & snorkels > 90° joint RA500 10mm
90° joint RA500 8mm,,,0.1,18.10,"Filters & snorkels, Filters & snorkels > 90° joint RA500 8mm",Classify,Filters & snorkels > 90° joint RA500 8mm
"Adaptor  3/8"" pump IDI1036 or IDI1008",,,0.1,2.90,"Filters & snorkels, Filters & snorkels > Adaptor  3/8"" pump IDI1036 or IDI1008",Classify,"Filters & snorkels > Adaptor  3/8"" pump IDI1036 or IDI1008"
"Adaptor 5/16"" pump IDI1036 ou IDI1008",,,0.2,2.50,"Filters & snorkels, Filters & snorkels > Adaptor 5/16"" pump IDI1036 ou IDI1008",Classify,"Filters & snorkels > Adaptor 5/16"" pump IDI1036 ou IDI1008"
CUFFED HOSE 75IDX2000MM - Air intake - hose,notes: Flexible & extendable air hose - minimum length 21cm - maximum length 40cm internal diameter 7.5cm,,0.2,15.50,"Filters & snorkels, Filters & snorkels > Air intake - hose",Classify,Filters & snorkels > Air intake - hose
CUFFED HOSE 75IDX2000MM - Air intake - hose,notes: Flexible & extendable air hose - minimum length 61cm - maximum length 200cm internal diameter 7.5cm,,0.2,18.00,"Filters & snorkels, Filters & snorkels > Air intake - hose",Classify,Filters & snorkels > Air intake - hose
Banjo / drille bolt seal 14mm,,,0.1,0.50,"Filters & snorkels, Filters & snorkels > Banjo / drille bolt seal 14mm",Classify,Filters & snorkels > Banjo / drille bolt seal 14mm
Banjo 14mm 3/8'' for  DAHL filter 65 or 100,,,0.1,2.40,"Filters & snorkels, Filters & snorkels > Banjo 14mm 3/8'' for  DAHL filter 65 or 100",Classify,Filters & snorkels > Banjo 14mm 3/8'' for  DAHL filter 65 or 100
"Banjo connector 3/4"" 16 UNF -12mm pipe for RA500","notes: Banjo bolt connector 3/4"" UNF - 12mm tube for RA500",,0.2,38.00,"Filters & snorkels, Filters & snorkels > Banjo connector 3/4"" 16 UNF -12mm pipe for RA500",Classify,"Filters & snorkels > Banjo connector 3/4"" 16 UNF -12mm pipe for RA500"
"TETECYCLONE 10 3 - Cyclonic precleaner snorkel head 3"" x 10"" - DONALDSON","notes: Donaldson head - bowl outer diameter: 10"" (254 mm) - connection diameter: 3"" (75 mm) - height: 210 mm",,1.6,92.00,"Filters & snorkels, Filters & snorkels > Cyclonic precleaner snorkel head 3"" x 10"" - DONALDSON",Classify,"Filters & snorkels > Cyclonic precleaner snorkel head 3"" x 10"" - DONALDSON"
